LOAD NO.,CONTAINER NO.,SIZE,SSL,TERMINAL,EXPORT BOOKING NO.,ETA,LFD,CUSTOMS,FREIGHT,PICK-UP STATUS,GATE OUT DATE,EST. DELIVERY DATE,ACTUAL DELIVERY DATE,EMPTY READY FOR P/U,EMPTY RETURN P/U,DELIVERY LOCATION,CUSTOMER,CC,NOTES
1134,UETU2560670,20DR,COSU,MAHER,,10/18/2021,10/22/2021,RELEASED,RELEASED,RETURNED,10/22/2021,,10/25/2021,,10/29/2021,"AVENEL, NJ",MG,AS,
1135,NYKU3223619,20DR,ONE,GLOBAL (GCT),,10/20/2021,10/26/2021,RELEASED,RELEASED,RETURNED,10/26/2021,,10/26/2021,,10/30/2021,"AVENEL, NJ",MG,AS,
1136,CMAU2100528,20DR,CMA-CGM,MAHER,,10/21/2021,11/2/2021,RELEASED,RELEASED,EMPTY,11/2/2021,11/2/2021,11/2/2021,,,"AVENEL, NJ",MG,AS,
1137,ZCSU7880593,40HC,ZIM,APMT,,10/23/2021,11/1/2021,RELEASED,RELEASED,EMPTY,11/1/2021,11/2/2021,11/2/2021,,,"SADDLE BROOK, NJ",MG,AS,
1138,NYKU9802346,20DR,ONE,GLOBAL (GCT),,10/14/2021,10/25/2021,RELEASED,RELEASED,RETURNED,10/25/2021,,10/25/2021,,10/28/2021,"AVENEL, NJ",MG,AS,
1139,TRHU2656044,20DR,ONE,GLOBAL (GCT),,10/14/2021,10/25/2021,RELEASED,RELEASED,RETURNED,10/22/2021,,10/27/2021,,10/28/2021,"AVENEL, NJ",MG,AS,
1140,OOCU7331228,40HC,OOLU,MAHER,,10/25/2021,11/5/2021,RELEASED,RELEASED,EMPTY,,11/5/2021,,,,"SADDLE BROOK, NJ",MG,AS,
1141,CSNU6277420,40HC,OOLU,MAHER,,10/25/2021,11/4/2021,RELEASED,RELEASED,EMPTY,,11/4/2021,,,,"SADDLE BROOK, NJ",MG,AS,
1142,SUZU4030680,40HC,CMA-CGM,MAHER,,10/25/2021,11/5/2021,RELEASED,RELEASED,RETURNED,11/5/2021,11/8/2021,11/11/2021,,12/3/2021,"SADDLE BROOK, NJ",MG,AS,
1143,APZU3500101,20DR,CMA-CGM,MAHER,,10/25/2021,11/4/2021,RELEASED,RELEASED,EMPTY,11/4/2021,11/3/2021,11/5/2021,,,"AVENEL, NJ",MG,AS,
1144,APZU3169610,20DR,CMA-CGM,MAHER,,10/25/2021,11/4/2021,RELEASED,RELEASED,EMPTY,,11/5/2021,,,,"AVENEL, NJ",MG,AS,
1145,FCIU9097838,40HC,CMA-CGM,MAHER,,10/25/2021,11/5/2021,RELEASED,RELEASED,EMPTY,11/5/2021,11/5/2021,11/9/2021,,,"AVENEL, NJ",MG,AS,
1146,OOLU4936084,40HC,COSU,MAHER,,10/25/2021,11/4/2021,RELEASED,RELEASED,EMPTY,,11/3/2021,,,,"SADDLE BROOK, NJ",MG,AS,
1147,TCKU6489184,40HC,EGL,MAHER,,10/27/2021,11/11/2021,RELEASED,RELEASED,RETURNED,11/11/2021,11/12/2021,11/12/2021,,11/16/2021,"AVENEL, NJ",MG,AS,
1148,KKFU7984298,40HC,ONE,GLOBAL (GCT),,10/28/2021,11/5/2021,RELEASED,RELEASED,EMPTY,11/5/2021,11/8/2021,,,,"SADDLE BROOK, NJ",MG,AS,
1149,NYKU3592094,20DR,ONE,GLOBAL (GCT),,10/28/2021,11/5/2021,RELEASED,RELEASED,EMPTY,11/4/2021,11/5/2021,,,,"SADDLE BROOK, NJ",MG,AS,
1150,GESU1441664,20DR,ONE,GLOBAL (GCT),,10/28/2021,11/5/2021,RELEASED,RELEASED,EMPTY,11/3/2021,11/3/2021,,,,"SADDLE BROOK, NJ",MG,AS,
1151,TCKU2842966,20DR,ONE,GLOBAL (GCT),,10/28/2021,11/5/2021,RELEASED,RELEASED,EMPTY,11/4/2021,11/8/2021,,,,"SADDLE BROOK, NJ",MG,AS,
1152,KKTU8072294,20DR,ONE,GLOBAL (GCT),,10/28/2021,11/5/2021,RELEASED,RELEASED,EMPTY,11/5/2021,11/8/2021,,,,"SADDLE BROOK, NJ",MG,AS,
1153,TGBU3186933,20DR,ONEY,GLOBAL (GCT),,10/28/2021,11/5/2021,RELEASED,RELEASED,EMPTY,11/5/2021,11/9/2021,,,,"SADDLE BROOK, NJ",MG,AS,
1154,BMOU1466248,20DR,ONEY,GLOBAL (GCT),,10/28/2021,11/5/2021,RELEASED,RELEASED,EMPTY,11/4/2021,11/9/2021,,,,"SADDLE BROOK, NJ",MG,AS,
1155,TEMU2329080,20DR,ONEY,GLOBAL (GCT),,10/28/2021,11/8/2021,RELEASED,RELEASED,EMPTY,11/8/2021,11/22/2021,11/22/2021,,,"SADDLE BROOK, NJ",MG,AS,
1156,TCLU3148659,20DR,ONEY,GLOBAL (GCT),,10/28/2021,11/5/2021,RELEASED,RELEASED,EMPTY,11/2/2021,11/3/2021,,,,"SADDLE BROOK, NJ",MG,AS,
1157,KOCU5241120,40HC,HDMU,GLOBAL (GCT),,10/28/2021,11/5/2021,RELEASED,RELEASED,EMPTY,11/5/2021,11/10/2021,,,,"SADDLE BROOK, NJ",MG,AS,
1158,NYKU3732766,20DR,ONEY,GLOBAL (GCT),,10/28/2021,11/10/2021,RELEASED,RELEASED,RETURNED,11/10/2021,11/10/2021,11/22/2021,,11/26/2021,"AVENEL, NJ",MG,AS,
1159,ZIMU1426160,20DR,ZIM,APMT,,10/29/2021,11/4/2021,RELEASED,RELEASED,EMPTY,11/2/2021,11/2/2021,11/2/2021,,,"AVENEL, NJ",MG,AS,
1160,NYKU4740663,40HC,ONEY,GLOBAL (GCT),,10/28/2021,11/4/2021,RELEASED,RELEASED,EMPTY,11/3/2021,11/3/2021,11/3/2021,,,"SADDLE BROOK, NJ",MG,AS,
1161,CBHU6340798,40HC,COSU,MAHER,,10/25/2021,11/4/2021,RELEASED,RELEASED,EMPTY,11/4/2021,11/5/2021,,,,"SADDLE BROOK, NJ",MG,AS,
1162,OOCU4827092,40HC,COSU,MAHER,,10/25/2021,11/5/2021,RELEASED,RELEASED,EMPTY,11/5/2021,11/5/2021,11/9/2021,,,"AVENEL, NJ",MG,AS,
1163,ZIMU1298590,20DR,ZIM,PNCT,,10/28/2021,11/5/2021,RELEASED,RELEASED,EMPTY,,11/8/2021,11/10/2021,,,"AVENEL, NJ",MG,AS,
1164,TGHU9813170,40HC,ZIM,PNCT,,10/28/2021,11/8/2021,RELEASED,RELEASED,RETURNED,11/10/2021,11/8/2021,11/10/2021,,11/13/2021,"AVENEL, NJ",MG,AS,
1165,ZCSU2668262,40HC,ZIM,PNCT,,10/28/2021,11/5/2021,RELEASED,RELEASED,EMPTY,,11/8/2021,11/11/2021,,,"AVENEL, NJ",MG,AS,
1166,ZCSU2794342,40HC,ZIM,PNCT,,10/28/2021,11/8/2021,RELEASED,RELEASED,EMPTY,,11/8/2021,11/10/2021,,,"AVENEL, NJ",MG,AS,
1167,BSIU9699391,40HC,ZIM,PNCT,,10/28/2021,11/8/2021,RELEASED,RELEASED,EMPTY,11/8/2021,,,,,"SADDLE BROOK, NJ",MG,AS,
1168,ZCSU8729750,40HC,ZIM,PNCT,,10/28/2021,11/5/2021,RELEASED,RELEASED,EMPTY,,11/8/2021,,,,"AVENEL, NJ",MG,AS,
1169,ZCSU7274934,40HC,ZIM,PNCT,,10/28/2021,11/8/2021,RELEASED,RELEASED,EMPTY,,11/8/2021,11/9/2021,,,"AVENEL, NJ",MG,AS,
1178,MOAU6795448,20GP,ONEY,GLOBAL (GCT),,11/9/2021,11/11/2021,RELEASED,RELEASED,EMPTY,11/11/2021,11/22/2021,11/22/2021,,,"SADDLE BROOK, NJ",MG,AS,
1184,CMAU7632293,40HC,CMA-CGM,MAHER,,11/5/2021,11/16/2021,RELEASED,RELEASED,RETURNED,11/15/2021,11/16/2021,11/16/2021,,11/23/2021,"SADDLE BROOK, NJ",MG,AS,
1185,CAAU6051724,40HC,CMA-CGM,MAHER,,11/5/2021,11/16/2021,RELEASED,RELEASED,RETURNED,11/16/2021,11/24/2021,11/24/2021,,12/3/2021,"SADDLE BROOK, NJ",MG,AS,
1187,SEGU1403951,20DR,ONEY,GLOBAL (GCT),,10/17/2021,10/25/2021,RELEASED,RELEASED,EMPTY,10/28/2021,,10/28/2021,,,"SADDLE BROOK, NJ",MG,AS,
1188,KKTU8067467,20DR,ONEY,GLOBAL (GCT),,10/17/2021,10/25/2021,RELEASED,RELEASED,EMPTY,10/28/2021,,,,,"SADDLE BROOK, NJ",MG,AS,
1195,OOCU7623446,40HC,OOLU,MAHER,,11/10/2021,11/18/2021,RELEASED,RELEASED,EMPTY,,,,,,"SADDLE BROOK, NJ",MG,AS,
1196,CMAU6750310,40HC,CMA-CGM,MAHER,,11/10/2021,11/22/2021,RELEASED,RELEASED,EMPTY,11/22/2021,,,,,"AVENEL, NJ",MG,AS,
1197,SEGU4931994,40HC,CMA-CGM,MAHER,,11/10/2021,11/23/2021,RELEASED,RELEASED,RETURNED,11/23/2021,11/24/2021,11/24/2021,,11/30/2021,"AVENEL, NJ",MG,VH,
1198,CSNU8343840,40HC,OOLU,MAHER,,11/10/2021,11/22/2021,RELEASED,RELEASED,EMPTY,11/22/2021,12/1/2021,11/30/2021,,,"SADDLE BROOK, NJ",MG,AS,
1199,MSMU7244237,40HC,MSC,APMT,,11/7/2021,11/17/2021,RELEASED,RELEASED,EMPTY,11/17/2021,,,,,"AVENEL, NJ",MG,AS,
1200,OOLU0873497,40HC,COSCO,MAHER,,11/8/2021,11/18/2021,RELEASED,RELEASED,RETURNED,11/17/2021,11/22/2021,,,12/10/2021,"SADDLE BROOK, NJ",MG,AS,12/9/2021 - ASI REPORTED DOOR DAMAGED WHILE UNLOADING @ SBW
1203,NYKU3633146,20GP,ONEY,GLOBAL (GCT),,11/8/2021,11/18/2021,RELEASED,RELEASED,RETURNED,11/18/2021,,11/23/2021,,12/9/2021,"SADDLE BROOK, NJ",MG,AS,
1204,CSNU1388288,20GP,CMA-CGM,MAHER,,11/11/2021,,HOLD,RELEASED,RETURNED,11/24/2021,12/7/2021,12/7/2021,,12/7/2021,"SADDLE BROOK, NJ",MG,VH,
1205,CSNU2009769,20GP,CMA-CGM,MAHER,,11/11/2021,,HOLD,RELEASED,RETURNED,11/26/2021,12/6/2021,12/6/2021,,12/7/2021,"SADDLE BROOK, NJ",MG,VH,
1207,TCLU1845628,40HC,CMA-CGM,MAHER,,11/11/2021,,RELEASED,RELEASED,RETURNED,11/24/2021,11/30/2021,11/30/2021,,12/6/2021,"AVENEL, NJ",MG,VH,
1211,TEMU5273981,20GP,ONEY,GLOBAL (GCT),,11/10/2021,11/19/2021,RELEASED,RELEASED,RETURNED,11/17/2021,11/19/2021,11/19/2021,,11/29/2021,"SADDLE BROOK, NJ",MG,AS,
1212,BEAU1004986,20GP,ONEY,GLOBAL (GCT),,11/10/2021,11/19/2021,RELEASED,RELEASED,EMPTY,11/19/2021,11/24/2021,,,,"SADDLE BROOK, NJ",MG,AS,
1216,CMAU6939095,40HC,CMA-CGM,MAHER,,11/11/2021,,RELEASED,RELEASED,RETURNED,11/22/2021,11/29/2021,11/29/2021,,11/30/2021,"AVENEL, NJ",MG,VH,
1217,CMAU6817564,40HC,CMA-CGM,MAHER,,11/11/2021,,RELEASED,RELEASED,RETURNED,11/22/2021,11/26/2021,11/26/2021,,11/29/2021,"AVENEL, NJ",MG,VH,
1218,ZCSU7572780,40HC,ZIM,APMT,,11/13/2021,11/18/2021,RELEASED,RELEASED,RETURNED,11/17/2021,11/17/2021,11/17/2021,,11/24/2021,"AVENEL, NJ",MG,AS,
1219,GLDU9495792,20GP,ONEY,GLOBAL (GCT),,11/8/2021,11/18/2021,RELEASED,RELEASED,EMPTY,11/18/2021,,,,,"SADDLE BROOK, NJ",MG,AS,
1222,SEGU1954300,20GP,ONEY,GLOBAL (GCT),,11/8/2021,11/18/2021,RELEASED,RELEASED,RETURNED,11/17/2021,11/17/2021,11/17/2021,,11/20/2021,"AVENEL, NJ",MG,AS,
1223,NYKU9776083,20GP,ONEY,GLOBAL (GCT),,11/11/2021,,RELEASED,RELEASED,RETURNED,11/23/2021,12/1/2021,12/1/2021,,12/1/2021,"SADDLE BROOK, NJ",MG,VH,
1224,KKTU7867742,20GP,ONEY,GLOBAL (GCT),,11/11/2021,,RELEASED,RELEASED,RETURNED,11/22/2021,12/1/2021,12/1/2000,,12/1/2021,"SADDLE BROOK, NJ",MG,VH,
1225,TCLU6959027,20GP,ONEY,GLOBAL (GCT),,11/11/2021,,RELEASED,RELEASED,RETURNED,11/22/2021,12/8/2021,12/8/2021,,12/9/2021,"SADDLE BROOK, NJ",MG,VH,
1226,KKTU8110645,20GP,ONEY,GLOBAL (GCT),,11/11/2021,,RELEASED,RELEASED,RETURNED,11/22/2021,12/8/2021,12/8/2021,,12/9/2021,"SADDLE BROOK, NJ",MG,VH,
1227,NYKU3866805,20GP,ONEY,GLOBAL (GCT),,11/11/2021,,RELEASED,RELEASED,RETURNED,11/22/2021,11/26/2021,11/26/2021,,11/26/2021,"AVENEL, NJ",MG,VH,
1228,TRHU3414106,20GP,ONEY,GLOBAL (GCT),,11/11/2021,,RELEASED,RELEASED,RETURNED,11/22/2021,12/2/2021,12/2/2021,,12/6/2021,"SADDLE BROOK, NJ",MG,VH,
1266,TEMU5979108,20GP,WHLC - WAN HAI LINES LTD,NYCT,,11/16/2021,11/22/2021,RELEASED,RELEASED,EMPTY,11/22/2021,,,,,"AVENEL, NJ",MG,AS,
1276,TCKU1062013,20ST,CMA-CGM,MAHER,,11/11/2021,,RELEASED,RELEASED,RETURNED,11/26/2021,11/30/2021,11/30/2021,,12/3/2021,"AVENEL, NJ",AF,VH,
1303,CICU2311749,40HC,LLHP,PNCT,,11/22/2021,11/30/2021,RELEASED,RELEASED,RETURNED,12/3/2021,12/7/2021,,12/8/2021,12/9/2021,"AVENEL, NJ",MG,VH,
1306,CICU2361190,40HC,LLHP,PNCT,,11/22/2021,11/30/2021,RELEASED,RELEASED,RETURNED,12/3/2021,12/8/2021,12/8/2021,12/9/2021,12/9/2021,"AVENEL, NJ",MG,VH,
1307,CICU2360002,40HC,LLHP,PNCT,,11/22/2021,11/30/2021,RELEASED,RELEASED,RETURNED,,12/8/2021,,12/9/2021,12/9/2021,"AVENEL, NJ",MG,VH,
1309,CICU2361210,40HC,LLHP,PNCT,,11/22/2021,12/1/2021,RELEASED,RELEASED,RETURNED,,12/9/2021,12/10/2021,12/13/2021,12/14/2021,"AVENEL, NJ",MG,VH,
1312,CICU2359779,40HC,LLHP,PNCT,,11/22/2021,12/1/2021,RELEASED,RELEASED,RETURNED,,12/9/2021,12/10/2021,12/10/2021,12/10/2021,"AVENEL, NJ",MG,VH,
1317,CSLU6194776,40HC,COSU,MAHER,,12/2/2021,12/13/2021,RELEASED,RELEASED,RETURNED,,12/14/2021,,12/15/2021,12/13/2021,"AVENEL, NJ",MG,VH,
1319,TEMU0630601,20GP,ONEY,GLOBAL (GCT),,12/2/2021,12/10/2021,RELEASED,RELEASED,RETURNED,,12/10/2021,,,12/10/2021,"AVENEL, NJ",MG,VH,
1320,TCLU3575120,20GP,ONEY,GLOBAL (GCT),,12/2/2021,12/13/2021,RELEASED,RELEASED,RETURNED,12/13/2021,12/15/2021,,12/15/2021,12/16/2021,"AVENEL, NJ",MG,VH,
1322,NYKU3930740,20GP,ONEY,GLOBAL (GCT),,12/2/2021,12/10/2021,RELEASED,RELEASED,RETURNED,,12/10/2021,,,12/10/2021,"AVENEL, NJ",MG,VH,
1300,CICU2309926,40HC,LLHP,PNCT,,11/22/2021,12/1/2021,RELEASED,RELEASED,EMPTY,12/7/2021,12/13/2021,12/13/2021,12/14/2021,,"AVENEL, NJ",MG,VH,
1270,TRHU2607097,20GP,ZIMU,APMT,,11/19/2021,12/1/2021,RELEASED,RELEASED,EMPTY,12/6/2021,12/13/2021,12/13/2021,12/13/2021,,"AVENEL, NJ",MG,VH,
1186,TLLU2276294,20GP,CMA-CGM,MAHER,,11/5/2021,11/16/2021,RELEASED,RELEASED,EMPTY,11/16/2021,12/3/2021,12/6/2021,,,"SADDLE BROOK, NJ",MG,AS,
1189,MOEU1401426,45HC,ONEY,GLOBAL (GCT),,11/10/2021,11/17/2021,RELEASED,RELEASED,EMPTY,11/17/2021,12/2/2021,12/6/2021,12/10/2021,,"SADDLE BROOK, NJ",MG,AS,
1201,SUZU4033251,40HC,CMA-CGM,MAHER,,11/8/2021,11/18/2021,RELEASED,RELEASED,EMPTY,11/18/2021,11/30/2021,12/6/2021,,,"SADDLE BROOK, NJ",MG,AS,
1267,BSIU9583842,40HC,ZIMU,APMT,,11/19/2021,12/1/2021,RELEASED,RELEASED,EMPTY,12/6/2021,12/13/2021,12/13/2021,12/16/2021,,"AVENEL, NJ",MG,VH,
1191,CMAU7886410,40HC,CMA-CGM,MAHER,,11/8/2021,11/18/2021,RELEASED,RELEASED,RETURNED,11/18/2021,12/3/2021,12/7/2021,12/13/2021,12/17/2021,"SADDLE BROOK, NJ",MG,AS,
1256,EITU1667500,40HC,EGLV - EVERGREEN LINE,MAHER,,11/14/2021,11/22/2021,RELEASED,RELEASED,RETURNED,11/23/2021,12/7/2021,12/7/2021,12/16/2021,12/27/2021,"SADDLE BROOK, NJ",MG,VH,
1257,TCLU8919173,40HC,EGLV - EVERGREEN LINE,MAHER,,11/14/2021,11/22/2021,RELEASED,RELEASED,RETURNED,11/23/2021,12/7/2021,12/7/2021,12/16/2021,12/21/2021,"SADDLE BROOK, NJ",MG,VH,
1311,CICU2361420,40HC,LLHP,PNCT,,11/22/2021,11/30/2021,RELEASED,RELEASED,EMPTY,,12/8/2021,12/8/2021,12/16/2021,,"SADDLE BROOK, NJ",MG,VH,
