LOAD NO.,CONTAINER NO.,SIZE,SSL,TERMINAL,EXPORT BOOKING NO.,ETA,LFD,CUSTOMS,FREIGHT,PICK-UP STATUS,GATE OUT DATE,EST. DELIVERY DATE,ACTUAL DELIVERY DATE,EMPTY READY FOR P/U,EMPTY RETURN P/U,DELIVERY LOCATION,CUSTOMER,CC,NOTES
1357,TFLU4005679,40GP,TJFH,APMT,,12/20/2021,12/23/2021,RELEASED,RELEASED,DELIVERED,12/22/2021,12/30/2021,12/30/2021,1/10/2022,,"AVENEL, NJ",MG,VH,contr ready for p/u 1/7 SNOW DAY
1221,DRYU3099501,20GP,ONEY,GLOBAL (GCT),,11/8/2021,11/19/2021,RELEASED,RELEASED,EMPTY,11/19/2021,11/24/2021,11/26/2021,1/4/2022,,"SADDLE BROOK, NJ",MG,AS,
1360,TFLU4866131,40HC,TJFH,APMT,,12/20/2021,12/23/2021,RELEASED,RELEASED,EMPTY,12/22/2021,12/29/2021,,1/5/2022,,"SADDLE BROOK, NJ",MG,VH,
1363,TFLU4809110,40HC,TJFH,APMT,,12/20/2021,12/23/2021,RELEASED,RELEASED,EMPTY,12/23/2021,12/27/2021,12/27/2021,1/3/2022,,"AVENEL, NJ",MG,VH,
1190,ZCSU6776814,40HC,ZIM,APMT,,11/8/2021,11/18/2021,RELEASED,RELEASED,UNLOADING,11/17/2021,12/3/2021,12/9/2021,1/10/2022,,"SADDLE BROOK, NJ",MG,AS,contr ready for p/u 1/7 SNOW DAY
1308,HPCU4205262,40HC,LLHP,PNCT,,11/22/2021,11/30/2021,RELEASED,RELEASED,EMPTY,,12/8/2021,12/8/2021,1/7/2022,,"SADDLE BROOK, NJ",MG,VH,contr ready for p/u 1/7 SNOW DAY
1356,TFLU4852518,40HC,TJFH,APMT,,12/20/2021,12/23/2021,RELEASED,RELEASED,DELIVERED,12/23/2021,1/3/2022,1/4/2022,,11-Jan,"AVENEL, NJ",MG,VH,FL
1359,TFLU4868957,40HC,TJFH,APMT,,12/20/2021,12/23/2021,RELEASED,RELEASED,DELIVERED,12/23/2021,1/3/2022,1/5/2022,,11-Jan,"SADDLE BROOK, NJ",MG,VH,FL
1206,TCNU4651665,40HC,CMA-CGM,MAHER,,11/11/2021,,RELEASED,RELEASED,DELIVERED,11/24/2021,12/8/2021,12/8/2021,,,"SADDLE BROOK, NJ",MG,VH,
1355,TFLU4852502,40HC,TJFH,APMT,,12/20/2021,12/23/2021,RELEASED,RELEASED,DELIVERED,12/23/2021,1/3/2022,1/4/2022,,11-Jan,"AVENEL, NJ",MG,VH,FL
1391,TCLU8434742,40HC,ONEY,GLOBAL (GCT),,12/31/2021,10-Jan,ReLEASED,RELEASED,,1/10/2022,1/17/2022,1/17/2022,,19-Jan,"AvENEL, NJ",MG,VH,FL
1392,BMOU1569544,20GP,ONEY,GLOBAL (GCT),,12/31/2021,12-Jan,RELEASED,RELEASED,,1/12/2022,,1/14/2022,,14-Jan,"AvENEL, NJ",MG,VH,PLT
1393,CAIU3204150,20GP,ONEY,GLOBAL (GCT),,12/31/2021,10-Jan,RELEASED,RELEASED,,1/10/2022,,1/13/2022,,13-Jan,"AVENEL, NJ",MG,VH,PLT
1394,TEMU5779326,20GP,ONEY,GLOBAL (GCT),,12/31/2021,11-Jan,RELEASED,RELEASED,,1/11/2022,,1/13/2022,,13-Jan,"AVENEL, NJ",MG,VH,PLT
1395,DRYU3104357,20GP,ONEY,GLOBAL (GCT),,12/31/2021,13-Jan,RELEASED,RELEASED,,1/13/2022,,17-Jan,,17-Jan,"AVENEL, NJ",MG,VH,PLT
1368,TRHU3894495,20GP,ONEY,GLOBAL (GCT),,12/21/2021,,RELEASED,RELEASED,IN-YARD,1/3/2022,1/12/2022,1/11/2022,,11-Jan,"SADDLE BROOK, NJ",MG,VH,PLT
